date,floor,garage,image_urls,images,link,m2,off,price,rooms,title
05-11-2018,,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/66/64/89/608912368.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/66/64/89/608912368.jpg', 'path': 'full/e22d41c7fec40f437aa14e8b4ba0f926055387b2.jpg', 'checksum': 'bd3bbf1d5d5846c7b36e8d6026534e30'}]",https://www.idealista.com/inmueble/82970417/,210,0,1430000,5,"Piso en calle del Rosselló, La Dreta de l'Eixample, Barcelona"
05-11-2018,4ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/56/c2/f1/261774703.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/56/c2/f1/261774703.jpg', 'path': 'full/71f9830b1cee87eab431455286191ba444c65541.jpg', 'checksum': '10d70edff17ec45f9d64ee2bf4966756'}]",https://www.idealista.com/inmueble/39324806/,134,0,430000,5,"Piso en travesía de gràcia, El Baix Guinardó, Barcelona"
05-11-2018,6ª,1,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/f7/01/45/598250590.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/f7/01/45/598250590.jpg', 'path': 'full/dc5748c3ff22a1ef4879b46bae5c76d8830b147a.jpg', 'checksum': 'ae243567462beff39c2e63d90faefef2'}]",https://www.idealista.com/inmueble/82461040/,357,0,2500000,5,"Piso en Pedralbes, Barcelona"
05-11-2018,4ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/23/68/2d/572488517.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/23/68/2d/572488517.jpg', 'path': 'full/7453649ea6fe7936045fc57e4413ad5828890467.jpg', 'checksum': 'f2ccc636751d551079a3e91fa75d9ea9'}]",https://www.idealista.com/inmueble/81217975/,256,0,950000,7,"Piso en Sant Gervasi - Galvany, Barcelona"
05-11-2018,2ª,1,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/de/7b/f2/571421399.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/de/7b/f2/571421399.jpg', 'path': 'full/d3e15a60d266b5a3cfbe6e5d24962e7e1dabe4b7.jpg', 'checksum': '5b3a1b5fb1610a92602ca71e527739a4'}]",https://www.idealista.com/inmueble/40378263/,80,0,425000,1,"Piso en Vila de Gràcia, Barcelona"
05-11-2018,2ª,1,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/ff/a8/14/606442103.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/ff/a8/14/606442103.jpg', 'path': 'full/36ba7e2680d9c0a1c9d1543f2d1195249f3131ca.jpg', 'checksum': 'c1f435109e19869dcb7b0c403548da0d'}]",https://www.idealista.com/inmueble/37267059/,196,0,899000,4,"Piso en Sant Gervasi - La Bonanova, Barcelona"
05-11-2018,2ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/dd/25/65/600360076.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/dd/25/65/600360076.jpg', 'path': 'full/ed5c1cb790e9a43765bcee2623fc38c2fa0fb9d7.jpg', 'checksum': '678c31ac8707780149039b32c04257d8'}]",https://www.idealista.com/inmueble/82567335/,124,0,475000,3,"Piso en calle de Provença, La Sagrada Família, Barcelona"
05-11-2018,1ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/9d/b8/17/587620580.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/9d/b8/17/587620580.jpg', 'path': 'full/0adc48a5eca08953e0a1abb7ffac07f79c3e3a18.jpg', 'checksum': 'f41a78d7694a6af9a517480d8498107e'}]",https://www.idealista.com/inmueble/81916449/,103,0,599000,2,"Piso en Arago, La Dreta de l'Eixample, Barcelona"
05-11-2018,2ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/7e/1d/06/580193518.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/7e/1d/06/580193518.jpg', 'path': 'full/1ec683521a3d946618d5613daaa765b6dfac54b6.jpg', 'checksum': '6235f7d5a762676fc9c5cb026a2e6d9f'}]",https://www.idealista.com/inmueble/81522626/,70,0,315000,2,"Piso en La Maternitat i Sant Ramon, Barcelona"
05-11-2018,3ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/b8/5c/f2/580965501.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/b8/5c/f2/580965501.jpg', 'path': 'full/ebdbe8604698888b3b0e8d87cf461533a754d6f7.jpg', 'checksum': '19d51cfba989fff9161ca79b3cc9235d'}]",https://www.idealista.com/inmueble/81630090/,80,0,399000,2,"Piso en El Gòtic, Barcelona"
